,polarity,subjectivity,neg,neu,pos,compound
108,0.5,1.0,0.0,0.721,0.279,0.5949
109,0.35,0.35,0.0,0.7,0.3,0.8205
110,-0.08333333333333333,0.4666666666666666,0.0,0.787,0.213,0.4215
111,-0.55,0.8500000000000001,0.0,0.256,0.744,0.7003
112,-0.26,0.4333333333333334,0.113,0.887,0.0,-0.3182
113,0.05,0.35,0.18,0.82,0.0,-0.3875
114,1.0,1.0,0.089,0.651,0.26,0.636
115,-0.8,1.0,0.0,0.667,0.333,0.3612
116,-0.5,0.6,0.558,0.442,0.0,-0.5848
117,-0.4,0.95,0.22,0.655,0.125,-0.3818
118,0.0,0.0,0.0,1.0,0.0,0.0
119,-0.12083333333333335,0.4041666666666667,0.0,1.0,0.0,0.0
120,0.5,0.5,0.0,0.849,0.151,0.2382
121,0.05,0.5,0.0,1.0,0.0,0.0
122,0.0,0.0,0.16,0.84,0.0,-0.2263
123,-0.3333333333333333,0.6666666666666666,0.468,0.532,0.0,-0.5267
124,-0.33999999999999997,0.7,0.38,0.553,0.067,-0.877
125,0.15000000000000002,0.6,0.0,0.703,0.297,0.5859
126,0.15,0.6564814814814816,0.198,0.557,0.245,0.1779
127,-0.3,0.4,0.701,0.299,0.0,-0.6908
128,-0.4,0.4,0.237,0.763,0.0,-0.4767
129,0.43749999999999994,0.5625,0.0,0.565,0.435,0.9307
130,0.0,0.375,0.0,0.667,0.333,0.6114
131,0.0,0.0,0.0,0.58,0.42,0.4404
132,-1.0,1.0,0.459,0.541,0.0,-0.5267
133,0.5,0.44999999999999996,0.115,0.638,0.246,0.5719
134,-0.5,1.0,0.195,0.805,0.0,-0.1779
135,0.21875,0.45,0.082,0.789,0.129,0.3304
136,-0.1,1.0,0.0,0.742,0.258,0.5456
137,0.13636363636363635,0.5,0.311,0.61,0.079,-0.765
138,0.0,0.0,0.0,0.615,0.385,0.3612
139,-0.525,0.65,0.216,0.784,0.0,-0.5106
140,0.6000000000000001,0.9,0.259,0.612,0.129,-0.4215
141,0.4375,0.625,0.0,0.681,0.319,0.6318
142,0.0,0.0,0.0,1.0,0.0,0.0
143,0.3,0.4884615384615385,0.0,1.0,0.0,0.0
144,0.17499999999999996,0.4833333333333334,0.153,0.551,0.297,0.6015
145,-0.5,0.5625,0.242,0.53,0.227,-0.0516
146,0.38,0.6,0.0,0.405,0.595,0.8519
147,0.5625,0.75,0.0,0.677,0.323,0.7345
148,-0.10714285714285715,0.7678571428571428,0.278,0.556,0.167,-0.2023
149,0.43333333333333335,0.4666666666666666,0.091,0.646,0.263,0.4476
150,0.75,1.0,0.0,0.238,0.762,0.75
151,1.0,0.9,0.0,0.334,0.666,0.7177
152,0.0,0.0,0.0,0.737,0.263,0.3612
153,0.0,0.08333333333333334,0.0,1.0,0.0,0.0
154,0.2,0.6,0.0,1.0,0.0,0.0
155,0.375,0.75,0.0,0.517,0.483,0.6808
156,0.35,0.8,0.0,0.775,0.225,0.4404
157,-0.4,0.75,0.0,0.815,0.185,0.3612
158,1.0,1.0,0.0,0.316,0.684,0.7579
159,-0.05909090909090909,0.4,0.121,0.879,0.0,-0.296
160,0.25,0.2,0.0,0.484,0.516,0.4926
161,0.6,0.55,0.111,0.486,0.403,0.6369
162,0.0,0.0,0.338,0.662,0.0,-0.6249
163,0.5,0.5,0.0,1.0,0.0,0.0
164,-0.05,0.4,0.0,1.0,0.0,0.0
165,-0.125,0.375,0.0,1.0,0.0,0.0
166,0.35,0.625,0.0,0.594,0.406,0.8727
167,-0.19999999999999998,0.35833333333333334,0.0,0.851,0.149,0.3612
168,0.5,0.5,0.122,0.878,0.0,-0.3597
169,0.16,0.5399999999999999,0.0,1.0,0.0,0.0
170,-0.0111111111111111,0.5111111111111111,0.0,0.75,0.25,0.7188
171,0.0,0.0,0.0,1.0,0.0,0.0
172,0.7,0.6000000000000001,0.0,0.145,0.855,0.7096
173,0.2,0.2,0.0,0.685,0.315,0.4144
174,0.0,0.0,0.0,0.694,0.306,0.5267
175,0.55,0.7,0.0,0.588,0.412,0.7902
176,0.2,0.4,0.0,0.612,0.388,0.2263
177,0.0,0.0,0.0,1.0,0.0,0.0
178,0.5625,1.0,0.245,0.15,0.605,0.8016
179,0.0,0.0,0.0,1.0,0.0,0.0
180,0.0,0.0,0.0,1.0,0.0,0.0
181,0.0,0.0,0.0,1.0,0.0,0.0
182,0.39999999999999997,0.5666666666666667,0.0,0.608,0.392,0.7003
183,0.09242424242424242,0.8636363636363636,0.0,0.571,0.429,0.7184
184,0.6083333333333333,0.4083333333333333,0.0,0.49,0.51,0.886
185,0.0,0.0,0.333,0.667,0.0,-0.5411
186,0.0,0.0,0.0,0.855,0.145,0.296
187,0.0,0.0,0.0,1.0,0.0,0.0
188,-0.2,0.0,0.391,0.609,0.0,-0.6705
